CS(=O)(=O)Cl.OCCCBr	CS(=O)(=O)OCCCBr
Cc1ccc(CN)cc1.OCCCl	Cc1ccc(CNCCO)cc1
CNN.O=Cc1ccc(Cl)cc1	CNN=Cc1ccc(Cl)cc1
CNN.O=Cc1ccc(Cl)cc1F	CNN=Cc1ccc(Cl)cc1F
C1CCC2OC2C1.C1CCNC1	OC1CCCCC1N1CCCC1
CCCc1ncccc1C(=O)OCC	CCCc1ncccc1CO
BrCCCCBr.Nc1cccc(O)c1	Oc1cccc(N2CCCC2)c1
C=O.Oc1ccccc1	O=Cc1ccccc1O
O=C1CCCCC1.[C-]#N.[NH4+]	N#CC1(N)CCCCC1
CCOC(=O)CCCCc1cccs1	O=C(O)CCCCc1cccs1
CSCCC(NC(C)=O)C(=O)O	CSCC[C@H](N)C(=O)O
CCCCBr.Nc1cccc(O)c1	CCCCNc1cccc(O)c1
N#Cc1ccccc1F.NCCO	N#Cc1ccccc1NCCO
CCCCN.N#Cc1ccccc1F	CCCCNc1ccccc1C#N
N#Cc1ccccc1F.NCCOCCO	N#Cc1ccccc1NCCOCCO
C/C=C\C.CCCCN	CCCCN1CC=CC1
OCCCCOCC=C(Cl)Cl	OCCCCOCC#CCl
I.c1ccc(C2CO2)cc1	OCC(I)c1ccccc1
I.c1ccc(C2CO2)cc1	OCC(I)c1ccccc1
CCc1cccc(NC#N)c1.CI	CCc1cccc(N(C)C#N)c1
N#C[O-].Nc1cnc(S)s1	NC(=O)Nc1cnc(S)s1
CNOC.O=C(Cl)CCCCl	CON(C)C(=O)CCCCl
CCCCCCCCCCCCN.CCO	CCCCCCCCCCCCCCN
c1ccc(C2CO2)cc1	OCCc1ccccc1
NCCBr.Oc1ccc(S)cc1	NCCSc1ccc(O)cc1
O=C(O)CC(F)(F)C(=O)O	O=C1CC(F)(F)C(=O)O1
COc1cccc(CC#N)c1	N#CCc1cccc(O)c1
C=CBr.O=Cc1ccc(O)cc1	C=CC(O)c1ccc(O)cc1
COC(=O)C=Cc1ccccc1O	COC(=O)CCc1ccccc1O
CC(=O)c1ccc(O)cc1.NO	CC(=NO)c1ccc(O)cc1
Br.CC(=O)c1ccc(O)cc1	O=C(CBr)c1ccc(O)cc1
O=Cc1c(F)cc(Cl)cc1F	OCc1c(F)cc(Cl)cc1F
C#CCBr.CC(C)NC(C)C	C#CCN(C(C)C)C(C)C
C=CCOCC1CO1.C[SiH](C)C	C[Si](C)(C)CCCOCC1CO1
Brc1cccnc1.C1CCNC1	c1ccc(N2CCCC2)nc1
O=C(Cl)c1ccccc1	O=C(Cl)c1ccccc1
CCN.O=C1CCOCC1	CCNC1CCOCC1
CCCNC1CCOC1.O=C(Cl)Cl	CCCN(C(=O)Cl)C1CCOC1
CC1(C)OCC(=O)CO1.N	CC1(C)OCC(N)CO1
OCC=CC(F)(F)C(F)(F)F	OCCCC(F)(F)C(F)(F)F
C#CCCCC.CC=O	CCCCC#CC(C)O
CI.Nc1cc2ccccc2cc1N	CNc1cc2ccccc2cc1N
BrBr.COCc1cccc(COC)c1	COCc1ccc(Br)c(COC)c1
COC(=O)c1cc(Br)ccc1Cl	OCc1cc(Br)ccc1Cl
BrBr.COc1ccc2ncccc2c1	COc1ccc2ncccc2c1Br
C1=CCCC2OC2CCC=CCC1	OC1CCCCCCCCCCC1
CCC(C)C=O.CCCCC=O	CC(C)CCCCC=CC=O
ClCCCCCBr.Sc1ncccn1	ClCCCCCSc1ncccn1
CCI.Cc1ccc(C)c(O)c1C	CCOc1c(C)ccc(C)c1C
CC(C)CC1COC(C(C)C)N1	CC(C)CN[C@H](CO)CC(C)C
BrCC1CCC1.NCCO	OCCNCC1CCC1
C=COCC.OCCCCCCBr	CCOC(C)OCCCCCCBr
Cc1cc(I)cnc1N.ClCl	Cc1cc(I)cnc1Cl
Fc1ccc(C2C=CNCC2)cc1	Fc1ccc(C2CCNCC2)cc1
Br.Nc1ccc2cn[nH]c2c1	Brc1ccc2cn[nH]c2c1
O=C(O)[C@H]1C[C@H](F)CN1	O=C(O)[C@H]1C[C@H](F)CN1
CCOC(=O)N=C=S.N	CCOC(=O)NC(N)=S
Cc1ccccc1.O=C(Cl)CCCl	Cc1ccc(C(=O)CCCl)cc1
O=[N+]([O-])C=Cc1cccs1	O=[N+]([O-])CCc1cccs1
COc1cccc2ocnc12.CSSC	COc1cccc2oc(SC)nc12
C1=CCCC2OC2CCC=CCC1	O=C1CCCCCCCCCCC1
CCCCC(C(=O)O)C(=O)O	C=C(CCCC)C(=O)O
CCCCCCCCCCCCS.[Cl-]	CCCCCCCCCCCCSCl
CC1(O)Cc2ccccc2C1	CC1=Cc2ccccc2C1
II.Nc1nccc2occc12	Nc1nccc2oc(I)cc12
NOCC=C(Cl)Cl.O=CCCl	ClCC=NOCC=C(Cl)Cl
CC(C)(C)ON.O=CCCl	CC(C)(C)ON=CCCl
CC(Br)CCOc1cccnc1.CN	CNC(C)CCOc1cccnc1
C1CNCCN1.Clc1cnccn1	c1cnc(N2CCNCC2)cn1
C[O-].OCCOc1cccnc1Br	COc1ncccc1OCCO
C=CCC(C)(C)C(=O)O.CO	C=CCC(C)(C)C(=O)OC
CSCC(=O)O.CSCCN	CSCCNC(=O)CSC
CO.O=C(O)CSCc1ccccc1	COC(=O)CSCc1ccccc1
Clc1ccc2ccc(CBr)nc2c1	BrCc1ccc2ccccc2n1
C1=CCCC2OC2CCC=CCC1	C1CCCCCC2OC2CCCC1
CO.Cc1cc(C(=O)O)no1	COC(=O)c1cc(C)on1
BrCCBr.COc1ccccc1O	COc1ccccc1OCCBr
C1=CCCC2OC2CCC=CCC1	O=C1CC=CCCC=CCCCC1
NC(CC1CCOC1)c1cccnc1	NC(c1cccnc1)C1CCOCC1
C#CCCO.C=COCC	C#CCCOC(C)OCC
CCOC(=O)C1CC(=O)CCO1	OCC1CC(O)CCO1
C1CCNCC1.N#CCCCCl	N#CCCCN1CCCCC1
Nc1ccc2[nH]ncc2c1.[I-]	Ic1ccc2[nH]ncc2c1
COc1ccc(-c2csnn2)cc1	Oc1ccc(-c2csnn2)cc1
CI.Cc1cccc(CCO)c1Br	COCCc1cccc(C)c1Br
C=CCCO.CC(Cl)C(=O)O	C=CCCOC(=O)C(C)Cl
Nc1cccc2nn[nH]c12	c1ccc2[nH]nnc2c1
Cc1cc(Br)cnc1Br.[I-]	Cc1cc(Br)cnc1I
CC1(C)COC(=O)C1=O	CC1(C)COC(=O)C1O
O=Cc1ccc(O)cc1	OCc1ccc(O)cc1
C1CC2CCNC(C1)C2.CC=O	CCN1CCC2CCCC1C2
N#Cc1ccccc1-n1cnnc1	NCc1ccccc1-n1cnnc1
CC(Cl)Br.COc1ccccc1O	COc1ccccc1OCCCl
CC(=O)CCC(C)=O.NCCBr	Cc1ccc(C)n1CCBr
C=O.OCCN1CCNCC1	CN1CCN(CCO)CC1
COC(=O)Cl.NNCCO	COC(=O)N(N)CCO
Cc1ccn2ccnc2n1.[Br-]	Cc1ccn2c(Br)cnc2n1
CC1OCC(=O)CC1=O.CCO	CCOC1=CC(=O)C(C)OC1
CCc1cc(Br)cc(CC)c1N	CCc1cc(Br)cc(CC)c1
C=CCCO.O=C(O)CBr	C=CCCOCC(=O)O
COc1ccc(C=O)cc1OC.NO	COc1ccc(C=NO)cc1OC
C#CCNC(=O)C(F)(F)F	CCCNC(=O)C(F)(F)F
COc1ccc(-n2cccn2)cc1	Oc1ccc(-n2cccn2)cc1
Cc1ccc(O)cc1.OCCCl	Cc1ccc(OCCO)cc1
CCCBr.O=Cc1c[nH]cn1	CCCn1cnc(C=O)c1
COc1ccc(F)c(C=O)c1OC	COc1ccc(F)c(C=O)c1O
C=CCCc1ccccc1.O=[PH2]O	OP(O)CCCCc1ccccc1
ClCCCBr.Oc1cccc(Cl)c1	ClCCCOc1cccc(Cl)c1
ClCCCBr.Sc1cccc(Br)c1	ClCCCSc1cccc(Br)c1
O=C1CCCC1c1ccccn1	OC1CCCC1c1ccccn1
CC(C)=O.Nc1ccc(F)cc1	CCCNc1ccc(F)cc1
CCCCCCCCCCCCCO	C=CCCCCCCCCCC
BrCc1ncsc1CBr.CNNC	CN1Cc2ncsc2CN1C
CCC(=O)CC(=O)CC.NN	CCc1cc(CC)[nH]n1
CON.O=Cc1ccc(F)cc1Cl	CON=Cc1ccc(F)cc1Cl
BrCCCOCc1ccccc1.CN	CNCCCOCc1ccccc1
COc1ccc(C=CC=O)cc1O	COc1ccc(CCC=O)cc1O
CCCCCCC=O.O=C1CCCC1	CCCCCCC(O)C1CCCC1=O
CC1(C)CC(Cl)=NO1.C[S-]	CSC1=NOC(C)(C)C1
COc1ccc2c(c1)CNC2=O	O=C1NCc2cc(O)ccc21
O=C1COc2cccnc2N1	c1cnc2c(c1)OCCN2
COc1ccc2nc(C)sc2c1	Cc1nc2ccc(O)cc2s1
C1COCCN1.ClCCCBr	ClCCCN1CCOCC1
CCCCC[Mg]Br.CCOC=O	CCCCCC(O)CCCCC
C1=CCCC2OC2CCC=CCC1	OC1CCCCCCCCCCC1
CCOc1cccnc1C(=O)O	CCOc1cccnc1CO
NC(=S)Nc1cccc(Br)c1	Nc1nc2cc(Br)ccc2s1
CC(O)CCCC(=O)O.CO	COC(=O)CCCC(C)O
CCO[Si](CCCCl)(OCC)OCC	CO[Si](CCCCl)(OC)OC
CO.N#Cc1ccnc(Cl)c1	COc1cc(C#N)ccn1
CCOC(=O)c1nc(CC)sc1C	CCc1nc(C(=O)O)c(C)s1
CCN(CC)CC(=O)OC.NN	CCN(CC)CC(=O)NN
BrBr.Fc1cccc2sccc12	Fc1cccc2scc(Br)c12
COC(CBr)OC.Nc1cnccn1	c1cn2ccnc2cn1
CC(C)S(=O)(=O)CC#N	CC(C)S(=O)(=O)CCN
BrBr.O=Cc1cccc(O)c1	O=Cc1cc(O)ccc1Br
COc1cccc2ncc(C)cc12	Cc1cnc2cccc(O)c2c1
CCC(Cl)C(=O)Cl.CCNCC	CCC(Cl)C(=O)N(CC)CC
NCCC1=CC=C(O)C(O)C1	NCCc1ccc(O)c(O)c1
N#Cc1cccc(C=O)c1.NO	N#Cc1cccc(C=NO)c1
CS(=O)(=O)Cc1ccccn1	CS(=O)(=O)CC1CCCCN1
COc1cc(Cl)cc(OC)c1	Oc1cc(O)cc(Cl)c1
COC(=O)COCC#CCO.II	COC(=O)COCC#CCI
O=C(O)c1cccnc1O	O=c1[nH]cccc1CO
CCCC(=O)OC.Cc1ccccn1	CCCC(=O)Cc1ccccn1
BrBr.OCc1cnc2ncncc2n1	BrCc1cnc2ncncc2n1
O=C(O)C1CCCCC1	O=C(O)c1ccccc1
CC1(C)CCC(=NO)CC1	CC1(C)CCC(N)CC1
CCN=C=NCCCN(C)C	CCN=C=NCCCN(C)C
COc1ccc2c(OC)cccc2c1	COc1cccc2cc(O)ccc12
C=COCC.OCCC1CCCCC1	C=COCCC1CCCCC1
OCCOCCOCCO	OCCOCCOCCO
CCn1c(C=O)nc(C)c1Br	CCn1c(CO)nc(C)c1Br
NO.O=Cc1ncccc1F	ON=Cc1ncccc1F
Cc1cccc(O)c1.O=N[O-]	CC1=CC(=O)C=CC1=NO
O=C1COc2cccnc2N1	C1=Nc2ncccc2OC1
Br.Cc1ccnc(N)c1	Cc1cc(N)ncc1Br
C=COC(C)=O.CCCCCCCCO	CCCCCCCCOC(C)OC(C)=O
C=COC(C)=O.CCCCCCCCO	CCCCCCCCOC(C)=O
C=COC(C)=O.CCCCCCCCO	CCCCCCCCOC(C)=O
C=COC(C)=O.CCCCCCCCO	CCCCCCCCOC(C)=O
C=COC(C)=O.CCCCCCCCO	CCCCCCCCOC(C)=O
Oc1cnccc1OCC(Br)CBr	BrCC1COc2ccncc2O1
Cc1ncccc1Br.O=[Se]=O	O=Cc1ncccc1Br
O=C(O)c1cccnc1O	OCc1cccnc1O
CCCCC/C=C/CCC=O	CCCCC/C=C/CCCO
COC(=O)CCCCC=C(C)C	CC(C)=CCCCCCO
N#CCCl.Nc1ccc(F)cc1Br	Fc1cc(Br)c2[nH]ccc2c1
O=C(O)CCCC[C@@H](S)CCS	O=C(O)CCCC[C@@H]1CCSS1
CCOC(=O)c1cnn2c1SCC2	OCc1cnn2c1SCC2
CCC=Nn1ccc2ccccc21	CCCNn1ccc2ccccc21
C1CNCCN1.Clc1cnccn1	c1cnc(N2CCNCC2)cn1
Nc1ccc(F)cc1Br.O=N[O-]	NNc1ccc(F)cc1Br
N#Cc1cc(F)c(C=O)cc1F	N#Cc1cc(F)c(CO)cc1F
C=C.O=C1CCOCC1	C#CC1(O)CCOCC1
C=CNC=O.CCCCCCCCCCBr	C=CN(C=O)CCCCCCCCCC
CC(=O)c1cc(Br)ccc1Cl	CCc1cc(Br)ccc1Cl
N#Cc1cccnn1.[NH4+]	N=C(N)c1cccnn1
COC(=O)COCCO.II	COC(=O)COCCI
Brc1cccc(Br)n1.CSC	CSc1cccc(Br)n1
CCOC(CSc1ccccc1C)OCC	Cc1cccc2ccsc12
NC(N)=S.O=C1CCCCC1Cl	Nc1nc2c(s1)CCCC2
CCCCO.O=P(Cl)(Cl)Cl	CCCCOP(=O)(Cl)Cl
CC(C)(C#N)CCCCl.NO	CC1(C)CCCN(O)C1=N
Brc1ccccn1.C#CCOC	COCC#Cc1ccccn1
BrBr.N#Cc1ccnc(CO)c1	N#Cc1ccnc(CBr)c1
Cn1ncc(CN)c1N	Cn1ncc(CN)c1N
CO.N#Cc1cnn(CCO)c1N	Nc1c(C=O)cnn1CCO
OCCBr.Oc1ccc(F)cc1F	OCCOc1ccc(F)cc1F
COc1cccc(F)c1Br	Oc1cccc(F)c1Br
CCCCCCCC=O.[NH3+]O	CCCCCCCC=NO
COc1ccc(OCC#N)cc1OC	COc1ccc(OCCN)cc1OC
CO.O=C(O)c1cc(I)ccn1	COC(=O)c1cc(I)ccn1
C#CCO.Cc1ccc(O)cc1	C#CCOc1ccc(C)cc1
C1COCCN1.ClCCCBr	ClCCCN1CCOCC1
Brc1ccccc1.c1cn[nH]c1	c1ccc(-n2cccn2)cc1
COC(=O)COC/C=C/C=O	COC(=O)COC/C=C/CO
CCBr.COc1ccccc1C=O	CCC(O)c1ccccc1OC
Cn1c(C=O)cnc1C1CC1	CC(C)c1ncc(C=O)n1C
CC(=O)C(=O)O.CCOCCO	CCOCCOC(=O)C(C)=O
C#CCBr.OCc1cccc(O)c1	C#CCOc1cccc(CO)c1
C=CCCC1CO1.C=CCOCC	CCOCC=CCCC1CO1
CN.CSCOc1cccc(C=O)c1	CN=Cc1cccc(OCSC)c1
N#CBr.Nc1ccccc1O	Nc1nc2ccccc2o1
C1COCCN1.ClCCCBr	ClCCCN1CCOCC1
CC1(C)CCC(=NO)CC1	CC1(C)CCC(N)CC1
O=C(O)CCc1ccc(Br)cc1	O=C1CCc2ccc(Br)cc21
O=C1CCN(C2CC2)CC1	OC1CCN(C2CC2)CC1
C=Cc1ccc(OC)c(OC)c1	CCc1ccc(OC)c(OC)c1
OCc1cnc(S)n1CC1CC1	OCc1cncn1CC1CC1
C=O.CCCCC(CC)C(=O)OC	CCCCC(CC)(CO)C(=O)OC
C=O.CCCCC(CC)C(=O)OC	CCCCC(CC)(CO)C(=O)OC
C=O.CCCCC(CC)C(=O)OC	CCCCC(CC)(CO)C(=O)OC
C=O.CCCCC(CC)C(=O)OC	CCCCC(CC)(CO)C(=O)OC
BrBr.O=Cc1cccc(O)c1	O=Cc1cc(O)ccc1Br
BrBr.O=Cc1cccc(O)c1	O=Cc1cc(O)ccc1Br
CCN=C=NCCCN(C)C	CCN=C=NCCCN(C)C
COC(OC)C(C)=CCCl	COC(OC)C(C)=CCCl
BrBr.CCCc1ccccc1NC#N	CCCc1cc(Br)ccc1NC#N
N#Cc1c(I)ccc(C=O)c1F	N#Cc1c(I)ccc(CO)c1F
CC(COC(C)(C)C)OCCCO	CC(CO)OCCCO
CN1CCC(=O)CC1.NN	CN1CCC(=NN)CC1
Cc1cc(C)cc(C=O)c1.NO	Cc1cc(C)cc(C=NO)c1
COC(=O)COCCO.II	COC(=O)COCCI
CC(=O)c1cc(Br)ccc1N	CC(O)c1cc(Br)ccc1N
O=C(O)CNc1cccc(F)c1	OCCNc1cccc(F)c1
CI.Oc1ccc2ccccc2c1Br	COc1ccc2ccccc2c1Br
COCc1ccc(Cl)cc1	O=Cc1ccc(Cl)cc1
Cc1ccc(N)c(C(N)=O)c1	Cc1ccc(N)c(CN)c1
CNCCO.Clc1ccncc1	CN(CCO)c1ccncc1
CCOC=O.NCCCCCCO	O=CNCCCCCCO
CC(N)=O.Cc1ccccc1	c1ccc2c(c1)CCNC2
Fc1cc(CBr)c(Cl)nc1Cl	Clc1ncccc1CBr
Fc1cc(CBr)c(Cl)nc1Cl	Clc1ccc(CBr)c(Cl)n1
Cc1nc(N)c(Br)cc1Br	Cc1ncc(Br)cc1Br
N#Cc1ccc(Cl)nc1.[NH4+]	N=C(N)c1ccc(Cl)nc1
COc1ccc(C=O)c(F)c1F	O=Cc1ccc(O)c(F)c1F
Cc1ccc(Cl)cc1Cl.[Br-]	Clc1ccc(CBr)c(Cl)c1
CCOC(=O)c1cncc(F)c1	O=Cc1cncc(F)c1
CNC.O=C1CCCCC1	CN(C)C1CCCCC1
NO.O=Cc1ccc(Br)cc1	ON=Cc1ccc(Br)cc1
CCCCI.O=C(O)C1CCC1	CCCCC1(C(=O)O)CCC1
Nc1ccccc1.OCC(F)(F)F	O=C=Nc1ccccc1
C1COCCN1.ClCCCBr	ClCCCN1CCOCC1
NN.O=Cc1c(I)ccnc1F	Ic1ccnc2[nH]ncc12
COCOCCc1ccc(C=O)cc1	O=Cc1ccc(CCO)cc1
COc1cc(Cl)cc(OC)c1	COc1cc(O)cc(Cl)c1
Br.CC(=O)c1ccc(C)cc1	Cc1ccc(C(=O)CBr)cc1
O=C1CCCc2ccc(Br)cc21	OC1CCCc2ccc(Br)cc21
CCOCCl.Oc1cccc(Br)c1	COCOc1cccc(Br)c1
O=C(O)c1ccc(Br)nc1Br	OCc1ccc(Br)nc1Br
CCN=C=NCCCN(C)C	CCN=C=NCCCN(C)C
COC(=O)c1ccc(C)nc1.N	Cc1ccc(C(N)=O)cn1
CC(C)I.Nc1ccccc1O	CC(C)Nc1ccccc1O
CC(C)I.Nc1ccccc1O	CC(C)Nc1ccccc1O
CCI.Clc1ncnc2cc[nH]c12	CCn1ccc2ncnc(Cl)c21
CC(C)CO.O=C(Cl)CCl	CC(C)COC(=O)CCl
CCCc1ccc(C(=O)OC)cc1	CCCc1ccc(CO)cc1
COC(=O)c1ccnc(Cl)c1	OCc1ccnc(Cl)c1
O=C1CCCc2ccc(Br)cc21	Oc1cccc2ccc(Br)cc12
BrBr.Cc1cc(C#N)nn1C	Cc1c(Br)c(C#N)nn1C
CI.Cc1cccc(C)c1S	CSc1c(C)cccc1C
CNOC.O=C(Cl)CCCCl	CON(C)C(=O)CCCCl
CI.COc1ccc2nc[nH]c2c1	COc1ccc2c(c1)ncn2C
BrBr.c1cnc2ccsc2c1	Brc1csc2cccnc12
N#CCBr.OC1CCCNC1	N#CCN1CCCC(O)C1
N#CCBr.OC1CCNC1	N#CCN1CCC(O)C1
N#CCN1CCCC(O)C1	NCCN1CCCC(O)C1
COc1cc2ccncc2cc1Br	Oc1cc2ccncc2cc1Br
CCO.S=C1NCCCCN1	CSC1=NCCCCN1
ClCC1CO1.NCc1ccccc1	OC1CN(Cc2ccccc2)C1
ClCC1CO1.NCc1ccccc1	OC1CN(Cc2ccccc2)C1
CCC1CCC(=NO)CC1.CCO	CCNC1CCCCC1
C=CCO.Cc1cc(Br)ccc1I	Cc1cc(Br)ccc1CCC=O
CCOc1cc(Br)ccc1N.II	CCOc1cc(Br)ccc1I
Br.COc1ccc(F)cc1CO	COc1ccc(F)cc1CBr
N#CBr.Nc1ccccc1O	Nc1nc2ccccc2o1
CON=C1CCc2cccnc21	NC1CCc2cccnc21
C=CCCN.O=C1CCC(=O)O1	C=CCCNC(=O)CCC(=O)O
C=CCCO.N#CCCCCCBr	C=CCCOCCCCCC#N
C#CCBr.C1CCNCC1	C#CCN1CCCCC1
CCCCI.O=C(O)C1CCC1	CCCCC1(C(=O)O)CCC1
Nc1cc(Cl)ccc1Br.[I-]	Clc1ccc(Br)c(I)c1
CC(=O)c1cc(Br)ccc1Cl	CC(O)c1cc(Br)ccc1Cl
COc1cccc2conc12	Oc1cccc2conc12
N#Cc1cc(Cl)ccn1.NCCN	Clc1ccnc(C2=NCCN2)c1
BrBr.c1cnc2c(c1)CCN2	Brc1cnc2c(c1)CCN2
II.Oc1cnc(Cl)c(F)c1	Oc1cc(F)c(Cl)nc1I
BrBr.Cc1ccccc1C=O	Cc1ccc(Br)cc1C=O
COc1cccc(CC#N)c1	N#CCc1cccc(O)c1
CC(C)I.OCc1cccc(O)c1	CC(C)Oc1cccc(CO)c1
CC(=O)O.CCCCCCCCC=O	C=C(C=O)CCCCCCC
Br.OCCc1ccccc1F	Fc1ccccc1CCBr
CCOC(=O)Cc1cc(C)ccn1	Cc1ccnc(CC(=O)O)c1
BrCCCOc1ccccc1.CC[S-]	CCSCCCOc1ccccc1
COc1cccnc1Cl.C[O-]	COc1cccnc1OC
CC(=O)Cl.Cc1csc(N)n1	CC(=O)Nc1nc(C)cs1
O=Cc1cc(Br)cc2c1OCC2	OCc1cc(Br)cc2c1OCC2
C#Cc1csc(C=O)c1	C#Cc1csc(CO)c1
C1COCCN1.OCCCCCCBr	OCCCCCCN1CCOCC1
COC(=O)c1nc(Br)cnc1N	Nc1ncc(Br)nc1C(=O)O
C[S-].Fc1cc(CBr)cnc1Cl	CSCc1cnc(Cl)c(F)c1
CSc1nc(Cl)cc(Cl)n1.NN	CSc1nc(Cl)cc(NN)n1
BrBr.CCOC(=O)CCC(C)=O	CCOC(=O)CCC(=O)CBr
CCCOc1ccc(C=NOC)cc1O	CCCOc1ccc(CN)cc1O
Fc1ccccc1F.O=C(Cl)CCl	O=C(CCl)c1cccc(F)c1F
N#CC1(C#N)CCCCC1	NCC1(CN)CCCCC1
COC(=O)C1CCOCC1	O=C(O)C1CCOCC1
OCC(O)COc1ccccc1	O=CCOc1ccccc1
CCc1ccc(OC)cc1.II	CCc1ccc(OC)c(I)c1
COCCl.Oc1ccc(Br)nc1	COCOc1ccc(Br)nc1
O=C1CC(OCc2ccccc2)C1	O=C1CC(OCc2ccccc2)C1
O=C(O)CCc1ccc(Br)cc1	OCCCc1ccc(Br)cc1
Brc1ccc2ncccc2c1.C[S-]	Sc1ccc2ncccc2c1
Cc1ccc(N)c(C(N)=O)c1	Cc1ccc(N)c(CN)c1
C1CCNC1.C1CCOC1	OCCCN1CCCC1
CCNC(=NC#N)SC.COCCN	COC(C)NC(=NC#N)SC
COC(=O)C1CCOCC1	O=C(O)C1CCOCC1
COCCCCl.c1c[nH]cn1	COCCCn1ccnc1
C#CCO.O=C(Cl)C(=O)Cl	CC#COC(=O)C(=O)Cl
COCCl.Oc1ccc(Br)nc1	COCOc1ccc(Br)nc1
O=C1CCCNc2ccccc21	c1ccc2c(c1)CCCCN2
Clc1nccnc1Cl.NN	NNc1nccnc1Cl
NCC1CC1.O=Cc1ccccc1	c1ccc(CNCC2CC2)cc1
CON=C1CCOc2ccccc21	NC1CCOc2ccccc21
CC(C)c1ccc(Cl)nn1.N	CC(C)c1ccc(N)nn1
Fc1cccnc1Cl.NN	NNc1ncccc1F
NO.O=Cc1ccc(F)cc1	N#Cc1ccc(F)cc1
C=CC[Mg]Br.CC(C)(C)C=O	C=CCC(O)C(C)(C)C
C=CC#N.NCC(=O)O	N#CCCNCC(=O)O
COC(=O)C=C1COC1.N	COC(=O)CC1(N)COC1
Nc1ccc2[nH]ncc2c1.[I-]	Ic1ccc2[nH]ncc2c1
Clc1cccc2[nH]ccc12	Clc1cccc2c1CCN2
COc1cc(Cl)cc(OC)c1	COc1cc(O)cc(Cl)c1
C1=COCCC1.OCC#CCCl	ClCC#CCOC1CCCCO1
Br.Cc1ccnc(N)c1	Cc1cc(N)ncc1Br
CC(C)O.CC(Cl)OC(=O)Cl	CC(C)OC(=O)OC(C)Cl
NNc1ccccc1F.O=N[O-]	[N-]=[N+]=Nc1ccccc1F
CC(=O)CO.CC[C@H](N)CO	CC[C@@H](CO)NC(C)CO
CC(C)C(=O)c1cccs1	CC(C)Cc1cccs1
Nc1ccc(Br)cc1.O=N[O-]	NNc1ccc(Br)cc1
CCOC(=O)C(C)ON=C(C)C	CC(C)=NOC(C)C(=O)O
O=C1COc2cccnc2N1	c1cnc2c(c1)OCCN2
ClCCCI.N#CC1CCOCC1	N#CC1(CCCCl)CCOCC1
O=C1CCCCC1.OCCNCCO	OCCN1CCOC12CCCCC2
O=C(O)Cc1ccccc1	O=C(O)CC1CCCCC1
COc1ccc2nc(C)sc2c1	Cc1nc2ccc(O)cc2s1
NC(=S)Nc1cccc(Br)c1	Nc1nc2cccc(Br)c2s1
BrBr.Oc1c(F)cccc1F	Oc1c(F)cc(Br)cc1F
N#CCC#N.Nc1sccc1C=O	N#Cc1cc2ccsc2nc1N
O=Cc1cccnc1Br	OCc1cccnc1Br
C#CC(=O)OCC.CC(C)=O	CCOC(=O)C#CC(C)(C)O
BrBr.CCCC(=O)C(C)(C)C	CCC(Br)C(=O)C(C)(C)C
CC1Cc2sccc2C(=O)N1	CC1Cc2sccc2CN1
N#CC1CCS(=O)C1.NN	Nc1n[nH]c2c1CSC2
CI.Cc1ccoc1CO	COCc1occc1C
CC(C)c1csc(N)n1.ClI	CC(C)c1nc(N)sc1I
Cc1cn[nH]c1.FC(F)(F)I	Cc1c[nH]nc1C(F)(F)F
C=O.COC(=O)[C@H]1CCCN1	COC(=O)[C@H]1CCCN1C
CCN.Cc1cc(C=O)sn1	CCNCc1cc(C)ns1
BrBr.CCSc1cccc(C)c1	CCSc1ccc(Br)c(C)c1
C#CCBr.C1CCNCC1	C#CCN1CCCCC1
N#Cc1c(I)ccnc1F.NN	N#Cc1c(I)ccnc1NN
C#CCBr.OCc1cccc(O)c1	C#CCOc1cccc(CO)c1
CCCCNC(=N)NC(=N)N	CCCCNC(=N)NC(=N)N
BrBr.CCOC(=O)CCC(C)=O	COC(=O)CCC(=O)CBr
O=C(O)CCc1ccc(Br)cc1	OCCCc1ccc(Br)cc1
CCOC(=O)c1cn(C)nn1	Cn1cc(C(=O)O)nn1
NC(=O)c1cnc(Cl)cc1Cl	N#Cc1cnc(Cl)cc1Cl
CC1CNCCN1.CCOC(=O)Cl	CCOC(=O)N1CCNC(C)C1
O=C(O)CC1CCOCC1	OCCC1CCOCC1
NCCCBr.O=Cc1ccccc1	BrCCCN=Cc1ccccc1
CCOC(=O)c1cc(O)ncn1	OCc1cc(O)ncn1
CC(=O)c1cccc(C#N)c1	CC(O)c1cccc(C#N)c1
O=C(O)c1cccc2occc12	O=C(O)c1cccc2c1CCO2
C[Mg]Br.O=Cc1ccc(F)nc1	CC(O)c1ccc(F)nc1
NC(=O)c1cccc(Br)c1F	NCc1cccc(Br)c1F
CI.Oc1ccc2cccnc2c1	COc1ccc2cccnc2c1
COc1cccc(OC)c1SC	CSc1c(O)cccc1O
CSSC.Fc1cc(I)ccc1Br	CSc1ccc(Br)c(F)c1
O[C@H](CBr)c1ccc(Br)cc1	Brc1ccc([C@H]2CO2)cc1
CCc1cc2ccccc2[nH]1	CCC1Cc2ccccc2N1
CI.O=c1ccc(Br)c[nH]1	Cn1cc(Br)ccc1=O
C[Mg]Br.O=Cc1ccc(F)nc1	CC(O)c1ccc(F)nc1
c1cc(OC2CCC2)ccn1	C1CC(OC2CCNCC2)C1
COc1ccc(Br)c(F)c1C=O	O=Cc1c(O)ccc(Br)c1F
